Problem Statement,Vehicle Type,Category,Solution,,,
My car's dashboard lights are dim.,Car,Electrical,Inspect and replace dim dashboard bulbs. Check the battery and charging system.,,,
How to properly store my bike for the winter?,Bike,Storage,"Fill the gas tank, change the oil,and use a bike cover to protect it from the elements.",, ,
My car's brakes are squeaking when I apply them.,Car,Brake,Inspect brake pads for wear and replace them if necessary. Lubricate caliper pins.,,,
How to change the spark plugs in my motorcycle?,Bike,Engine,Refer to the motorcycle manual for the correct spark plug replacement procedure.,,,
Unusual vibrations in my car's steering wheel.,Car,Steering,Check for wheel balance and alignment issues. Consult a mechanic for further inspection.,,,
My bike's chain is rusty.,Bike,Chain,Clean the chain thoroughly and apply a rust inhibitor. Consider replacing the chain if rust persists.,,,
I smell burning rubber from my car.,Car,General,Pull over immediately and inspect the tires and engine compartment for any issues. Call for roadside assistance if needed.,,,
The bike's exhaust emits excessive smoke.,Bike,Exhaust,Check for oil leaks and inspect the air filter. Consult a mechanic for further diagnosis.,,,
My car's windshield wipers are not working.,Car,Wipers,Check the wiper motor and replace if necessary. Inspect the wiper linkage for any issues.,,,
How to fix a punctured tire on my bike?,Bike,Tire,Use a tire repair kit to plug the puncture or replace the inner tube if the damage is severe.,,,
My car's air vents are not blowing cold air.,Car,AC,Check refrigerant levels and inspect the AC compressor. Recharge the system if needed.,,,
The bike's engine is running hot.,Bike,Engine,Ensure proper coolant levels and check for any obstructions in the radiator. Seek professional help if the issue persists.,,,
I have a cracked windshield on my car.,Car,Body,Contact a professional windshield repair service for repairs or replacement.,,,
How to improve my car's fuel efficiency?,Car,Fuel,Maintain regular engine and tire maintenance. Drive smoothly and avoid aggressive acceleration.,,,
The bike's battery keeps draining.,Bike,Battery,Check for electrical system issues and replace the battery if needed. Inspect for any parasitic drains.,,,
My car's suspension feels bouncy.,Car,Suspension,Inspect shocks and struts for wear. Replace if necessary for a smoother ride.,,,
How to clean and condition my car's leather seats?,Car,Interior,Use a leather cleaner and conditioner. Apply evenly with a soft cloth for best results.,,,
The bike's headlights are flickering.,Bike,Electrical,Check the headlight bulb and wiring for loose connections. Replace the bulb if necessary.,,,
My car's engine is misfiring.,Car,Engine,"Inspect spark plugs, ignition coils,and fuel injectors. Replace or clean components as needed.",, ,
How to fix a scratch on my bike's paint?,Bike,Body,Use a scratch repair kit to fill and buff out the scratch. Consider professional detailing for larger scratches.,,,
I smell a strong odor of fuel in my car.,Car,Fuel,Inspect the fuel system for leaks and check the fuel cap. Repair or replace components as needed.,,,
The bike's turn signals are not working.,Bike,Electrical,Check the turn signal bulbs and replace if burnt out. Inspect the wiring for any issues.,,,
My car's dashboard shows a tire pressure warning.,Car,Tire,Check and adjust tire pressure according to the recommended levels. Inspect for punctures or leaks.,,,
The bike's engine is stalling at idle.,Bike,Engine,Inspect the idle control valve and throttle body. Clean or replace components as necessary.,,,
I have a dent on the bike's gas tank.,Bike,Body,Use a paintless dent repair kit or seek professional assistance for dent removal.,,,
My car's power windows are not working.,Car,Electrical,Check the power window fuses and switches. Replace faulty components or consult a mechanic.,,,
The bike's brakes feel spongy.,Bike,Brake,Bleed the brake lines to remove air bubbles. Inspect for brake fluid leaks and top up if necessary.,,,
How to remove tree sap from my car's paint?,Car,Body,Use a gentle solvent or automotive detailing clay to remove tree sap. Wax the area afterward.,,,
The bike's speedometer is not accurate.,Bike,Electrical,Inspect the speed sensor and wiring for issues. Calibrate or replace components as needed.,,,
My car's exhaust is emitting black smoke.,Car,Exhaust,Check for clogged air filters and fuel injectors. Consult a mechanic for a comprehensive inspection.,,,
How to check and replace the air filter in my bike?,Bike,Maintenance,"Locate the air filter, inspect for dirt and replace if necessary. Follow the manufacturer's guidelines.",, ,
My car's steering wheel is vibrating at high speeds.,Car,Steering,Check for wheel balance issues and tire alignment. Rotate or replace tires as needed.,,,
The bike's clutch is slipping.,Bike,Transmission,Inspect the clutch cable and adjust the tension. Replace the clutch plates if necessary.,,,
I have a dent on the car's bumper.,Car,Body,Consider using a bumper repair kit or consult an auto body shop for professional repair.,,,
The bike's engine is producing knocking sounds.,Bike,Engine,Check for low-quality fuel or incorrect fuel-to-air ratio. Adjust carburetor settings if needed.,,,
My car's windows are fogging up.,Car,Interior,Ensure proper ventilation and use a defogger or open windows slightly to reduce humidity.,,,
How to fix a minor oil leak on my bike?,Bike,Engine,Identify the source of the leak and tighten or replace the affected gaskets or seals.,,,
The car's transmission is shifting roughly.,Car,Transmission,Check transmission fluid levels and condition. Replace or top up fluid as needed.,,,
The bike's suspension feels too stiff.,Bike,Suspension,Inspect shock absorbers for proper lubrication and adjust stiffness settings if applicable.,,,
My car's alarm keeps going off randomly.,Car,Security,Check for faulty sensors or wiring in the alarm system. Consult a professional for repairs.,,,
How to store my car for an extended period?,Car,Storage,"Fill the gas tank, change the oil, and use a car cover. Lift the car off the ground to prevent flat spots on tires.",,,
The bike's handlebars are misaligned.,Bike,Steering,"Loosen the bolts, align the handlebars,and tighten the bolts securely.",, ,
My car's radio is not working.,Car,Electrical,Check the fuse and wiring for the radio unit. Replace the fuse or consult a car audio specialist.,,,
The bike's exhaust is emitting white smoke.,Bike,Exhaust,Inspect for coolant leaks into the exhaust system. Check the radiator and hoses for issues.,,,
How to remove bugs and tar from my car's paint?,Car,Body,Use bug and tar remover or a mixture of warm water and mild soap. Wax the area after cleaning.,,,
The bike's kickstand is loose.,Bike,General,Tighten the kickstand bolts and inspect for any damage. Replace the kickstand if necessary.,,,
My car's airbag warning light is on.,Car,Safety,Visit an authorized service center to diagnose and repair the airbag system.,,,
The bike's exhaust has a rattling noise.,Bike,Exhaust,Inspect the exhaust system for loose components. Tighten or replace as necessary.,,,
I have a scratch on the car's alloy wheel.,Car,Tire,Use a touch-up paint or consult a professional wheel repair service for alloy wheel scratches.,,,
The bike's chain is too tight.,Bike,Chain,Loosen the rear wheel and adjust the chain tension to the manufacturer's specifications.,,,
My car's engine is consuming too much fuel.,Car,Fuel,Check for faulty oxygen sensors and fuel injectors. Perform a fuel system cleaning if needed.,,,
How to clean bird droppings from my car's paint?,Car,Body,Clean the affected area with water and a mild detergent. Wax the paint after cleaning.,,,
The bike's headlight is too dim.,Bike,Electrical,Check the headlight bulb for wear and replace if necessary. Ensure proper electrical connections.,,,
My car's power steering is making a whining noise.,Car,Steering,Check power steering fluid levels and inspect the power steering pump. Top up or replace as needed.,,,
The bike's turn signals are blinking rapidly.,Bike,Electrical,Inspect and replace burnt-out turn signal bulbs. Check the flasher relay for issues.,,,
How to remove a stuck bolt on my car's exhaust?,Car,Exhaust,"Use penetrating oil and let it sit,then use appropriate tools to loosen the stuck bolt.",,,
The bike's speedometer is not working.,Bike,Electrical,Inspect the speed sensor and wiring. Replace the sensor or check for loose connections.,,,
My car's brakes are pulsating.,Car,Brake,Inspect brake rotors for warping and replace if necessary. Ensure even brake pad wear.,,,
The bike's engine is backfiring.,Bike,Engine,Check for exhaust leaks and inspect the carburetor for proper tuning. Adjust as needed.,,,
I have a small chip on my car's windshield.,Car,Body,Use a windshield repair kit to fill the chip and prevent it from spreading.,,,
The bike's handlebar grips are worn.,Bike,General,Replace the worn handlebar grips for better control and comfort during rides.,,,
My car's heater is not producing warm air.,Car,Heating,Check the coolant levels and thermostat. Flush the radiator if necessary.,,,
The bike's brakes are squealing when applied.,Bike,Brake,Inspect brake pads for glazing and contamination. Sand or replace pads as needed.,,,
I have a small dent on my car's fender.,Car,Body,Use a dent removal kit for minor dents or consult a professional for repairs.,,,
The bike's engine is running unevenly at idle.,Bike,Engine,Inspect and clean the idle air control valve. Adjust the idle speed as necessary.,,,
My car's windshield wipers are streaking.,Car,Wipers,Clean the wiper blades with rubbing alcohol and replace them if they are worn.,,,
How to polish the chrome exhaust pipes on my bike?,Bike,Exhaust,Use a chrome polish and a soft cloth to restore shine to the exhaust pipes.,,,
The car's headlights are not aligned properly.,Car,Electrical,Adjust the headlight aim according to the manufacturer's specifications.,,,
The bike's rear suspension is too soft.,Bike,Suspension,Adjust the rear shock absorber settings for the desired level of stiffness.,,,
My car's paint has swirl marks.,Car,Body,Use a swirl mark remover and a buffer to polish the paint surface.,,,
The bike's battery is not holding a charge.,Bike,Battery,Replace the battery if it's old or damaged. Check the charging system for issues.,,,
How to remove stickers from my car's windows?,Car,Body,Use a heat gun or hairdryer to warm the stickersthen peel them off. Clean the residue with adhesive remover.,,,
The bike's fuel gauge is not accurate.,Bike,Electrical,Check the fuel level sensor and wiring. Replace the sensor if necessary.,,,
My car's exhaust smells like rotten eggs.,Car,Exhaust,Inspect the catalytic converter for issues. Replace if there are signs of damage or failure.,,,
The bike's chain is making a clicking noise.,Bike,Chain,Ensure proper lubrication and tension of the chain. Clean and adjust as needed.,,,
How to fix a tear in my car's upholstery?,Car,Interior,Use a patch kit or consult a professional upholstery repair service for tears.,,,
The bike's brake lever feels loose.,Bike,Brake,Inspect the brake lever for wear or damage. Replace if necessary and adjust the brake cable tension.,,,
The car's air vents are not blowing any air.,Car,AC,Check the blower motor and fuses. Replace the motor or fuse if necessary.,,,
"I dropped my bike, and the handlebars are misaligned.",Bike,Steering,"Loosen the bolts, adjust the handlebars,and tighten the bolts securely.",,, 
My car's fuel gauge is reading inaccurately.,Car,Fuel,Check the fuel level sensor and wiring. Replace the sensor if needed.,,,
The bike's engine is overheating in traffic.,Bike,Cooling System,Ensure proper coolant levels and check the radiator for debris. Consider adding a cooling fan.,,,
My car's power windows are slow to roll up.,Car,Electrical,Inspect the window regulators and lubricate them. Replace if necessary.,,,
The bike's clutch lever feels too loose.,Bike,Transmission,Adjust the clutch cable tension according to the manufacturer's specifications.,,,
My car's tires are wearing unevenly.,Car,Tire,Check wheel alignment and rotate tires regularly to ensure even wear.,,,
The bike's turn signals are blinking .,Bike,Electrical,Inspect and replace the turn signal relay. Check for loose connections.,,,
I have a dent on the car's roof.,Car,Body,Consider using a suction dent puller or consult a professional for repair.,,,
The bike's engine is difficult to start when hot.,Bike,Engine,Check for carburetor issues and ensure proper fuel flow. Adjust the choke if needed.,,,
My car's transmission is slipping.,Car,Transmission,Check transmission fluid levels and condition. Consult a mechanic for further diagnosis.,,,
The bike's exhaust has a blue tint.,Bike,Exhaust,Inspect the engine for oil leaks. Replace worn piston rings or valve seals if necessary.,,,
I spilled soda on my car's carpet.,Car,Interior,"Blot the area with a clean cloth,then use a carpet cleaner to remove stains.",,,
The bike's front suspension is too stiff.,Bike,Suspension,Adjust the front fork settings for the desired level of stiffness.,,,
My car's dashboard lights are flickering.,Car,Electrical,Check the alternator and battery connections. Replace the alternator if needed.,,,
The bike's throttle is sticking.,Bike,Engine,Inspect the throttle cable for binding. Lubricate or replace the cable if necessary.,,,
My car's brake pedal feels soft.,Car,Brake,Bleed the brake system to remove air. Inspect for leaks and top up brake fluid as needed.,,,
The bike's engine is producing excessive vibrations.,Bike,Engine,Check for loose bolts and mounts. Balance the engine components if necessary.,,,
I have a crack in my car's windshield.,Car,Body,Repair small cracks with a windshield repair kit. Replace the windshield for larger cracks.,,,
The bike's chain is making a grinding noise.,Bike,Chain,Clean and lubricate the chain. Inspect for chain wear and replace if necessary.,,,
My car's exhaust smells like fuel.,Car,Exhaust,Inspect for fuel leaks in the fuel system. Check the fuel injectors and replace if needed.,,,
The bike's brake lever feels too firm.,Bike,Brake,Check brake fluid levels and bleed the brake system. Inspect for air bubbles in the brake lines.,,,
My car's engine is idling rough.,Car,Engine,Clean the throttle body and inspect for vacuum leaks. Replace spark plugs if needed.,,,
The bike's headlights are too dim.,Bike,Electrical,Check the headlight wiring and connectors. Upgrade to brighter bulbs if necessary.,,,
I hit a pothole and my car's steering is misaligned.,Car,Steering,Inspect the alignment and suspension components. Realign the steering if necessary.,,,
The bike's exhaust is rattling.,Bike,Exhaust,Check for loose or damaged exhaust components. Tighten or replace as needed.,,,
My car's battery is constantly draining.,Car,Battery,Inspect for parasitic drains. Check the battery and alternator for issues.,,,
The bike's engine is backfiring during deceleration.,Bike,Engine,Adjust the air-fuel mixture and inspect the exhaust system for leaks.,,,
My car's automatic transmission is slipping between gears.,Car,Transmission,Check transmission fluid levels and condition. Consult a transmission specialist.,,,
The bike's brake pads are wearing unevenly.,Bike,Brake,Inspect for misalignment of brake calipers. Replace or adjust as needed.,,,
I have a dent on the car's side door.,Car,Body,Use a dent removal kit or consult an auto body shop for professional repair.,,,
The bike's handlebars are too low for comfort.,Bike,Steering,Adjust the handlebar height or consider installing handlebar risers.,,,
My car's air conditioning is blowing warm air.,Car,AC,Check the refrigerant levels and inspect the AC compressor. Recharge the system if needed.,,,
The bike's engine is stalling when coming to a stop.,Bike,Engine,Adjust the idle speed and inspect the fuel system for clogs. Clean or replace as necessary.,,,
I noticed a fluid leak under my car.,Car,General,"Identify the color of the fluid to determine the source (oil, coolant,brake fluid, etc.). Consult a mechanic.",, ,
The bike's headlights are flickering intermittently.,Bike,Electrical,Check the headlight bulb and wiring for loose connections. Replace the bulb if necessary.,,,
My car's suspension is making a clunking noise.,Car,Suspension,"Inspect the shocks,struts and suspension components for wear. Replace if needed.",, ,
The bike's kickstand is not retracting fully.,Bike,General,Inspect the kickstand spring and mechanism. Lubricate or replace as necessary.,,,
My car's engine is making a high-pitched squealing noise.,Car,Engine,Check the serpentine belt for wear and tension. Replace if necessary.,,,
The bike's fuel tank is not venting properly.,Bike,Fuel,Inspect the fuel tank vent and breather hoses. Clear any obstructions for proper venting.,,,
I have a scratch on my car's alloy wheels.,Car,Tire,Use touch-up paint or a specialized alloy wheel repair kit to fix the scratch.,,,
The bike's rear brake is not engaging.,Bike,Brake,"Inspect the brake pedal, caliper and brake fluid levels. Bleed the brake system if needed.",, ,
My car's power steering fluid is foaming.,Car,Steering,Check for leaks in the power steering system and replace the fluid if contaminated.,,,
The bike's transmission is making a grinding noise.,Bike,Transmission,Inspect the transmission fluid for metal particles. Consult a mechanic for further diagnosis.,,,
"I hit a curb, and my car's alignment is off.",Car,Steering,"Inspect the alignment,suspension and steering components. Realign if necessary.",, , 
The bike's throttle response is delayed.,Bike,Engine,Inspect the throttle cable for binding and lubricate. Adjust the throttle play as needed.,,,
My car's brakes are pulsating during highway driving.,Car,Brake,Inspect the brake rotors for warping and replace if necessary. Check for brake pad wear.,,,
The bike's exhaust has a black sooty residue.,Bike,Exhaust,Adjust the air-fuel mixture and inspect the air filter. Clean or replace components as necessary.,,,
My car's windshield washer fluid is not spraying.,Car,Wipers,Check the washer fluid reservoir and inspect the washer pump. Replace the pump if needed.,,,
The bike's engine is running too rich.,Bike,Engine,Adjust the carburetor settings to achieve the correct air-fuel mixture.,,,
I have a dent on the car's rear bumper.,Car,Body,Use a plunger or consult an auto body shop for dent removal.,,,
The bike's gear shifting is rough.,Bike,Transmission,Check the clutch cable tension and adjust if necessary. Inspect the transmission for issues.,,,
My car's headlights are misaligned.,Car,Electrical,Adjust the headlight aim according to the manufacturer's specifications.,,,
The bike's rear tire is wobbling.,Bike,Tire,Inspect the tire for damage and ensure proper tire installation. Check the wheel for trueness.,,,
I spilled coffee on the bike's seat.,Bike,Interior,Blot the affected area with a clean cloth and use a fabric cleaner to remove stains.,,,
My car's engine is making a ticking noise.,Car,Engine,Inspect the valve lifters and adjust if necessary. Check for low oil levels.,,,
The bike's exhaust is emitting a popping sound during deceleration.,Bike,Exhaust,Adjust the air-fuel mixture and inspect the exhaust system for leaks.,,,
I have a chip in my car's paint.,Car,Body,Use touch-up paint or a paint repair kit to cover the chip.,,,
The bike's front wheel is wobbling.,Bike,Suspension,Inspect the front wheel for loose spokes and ensure proper wheel alignment.,,,
My car's door is not closing properly.,Car,Body,Check for obstructions and misalignment in the door hinges. Adjust or replace as necessary.,,,
The bike's throttle is sticking at higher RPMs.,Bike,Engine,Inspect the throttle cable for binding and lubricate. Adjust the throttle play as needed.,,,
I have a crack in my car's side mirror.,Car,Body,Replace the side mirror glass or consult an auto glass repair service.,,,
The bike's chain is too loose.,Bike,Chain,Adjust the chain tension to the manufacturer's specifications. Ensure proper lubrication.,,,
My car's interior lights are not working.,Car,Electrical,Check the interior light fuse and bulb. Replace as needed.,,,
The bike's exhaust is emitting a popping sound during acceleration.,Bike,Exhaust,Inspect for air leaks in the exhaust system. Adjust the carburetor if necessary.,,,
The car's transmission is slipping when shifting gears.,Car,Transmission,Check transmission fluid levels and condition. Consult a mechanic for further diagnosis.,,,
The bike's brake lever is too hard to pull.,Bike,Brake,"Inspect the brake lever, master cylinder and brake fluid levels. Bleed the brake system if needed.",, ,
My car's key is stuck in the ignition.,Car,General,Check if the car is in park or neutral. Wiggle the steering wheel while trying to turn the key.,,,
I have a dent on the car's hood.,Car,Body,Use a dent removal kit or consult an auto body shop for professional repair.,,,
The bike's kickstart is not engaging.,Bike,Engine,Inspect the kickstart mechanism and ensure proper lubrication. Replace if necessary.,,,
My car's gas cap is difficult to remove.,Car,Fuel,Clean the gas cap and inspect for damage. Replace the gas cap if it's worn or malfunctioning.,,,
The bike's front brakes are squeaking.,Bike,Brake,Inspect the brake pads and rotor for wear. Clean and lubricate components or replace as needed.,,,
I spilled water on my car's upholstery.,Car,Interior,Blot the affected area with a clean dry cloth. Use a fabric cleaner to remove any remaining stains.,,,
The bike's throttle is not responding.,Bike,Engine,Inspect the throttle cable for damage and lubricate. Adjust the cable tension as needed.,,,
My car's horn is not working.,Car,Electrical,Check the horn fuse and wiring. Replace the fuse or horn if necessary.,,,
The bike's wheels are out of alignment.,Bike,Suspension,Inspect the wheel alignment and adjust as needed. Tighten axle nuts securely.,,,
My car's engine is misfiring under acceleration.,Car,Engine,Inspect spark plugs  ignition coils and fuel injectors. Replace or clean components as needed.,, ,
The bike's exhaust is emitting  smoke.,Bike,Exhaust,Check for coolant leaks and inspect the radiator. Consult a mechanic for further diagnosis.,,,
I have a scratch on my car's side mirrors.,Car,Body,Use a scratch repair kit or consult a professional for cosmetic repairs.,,,
The bike's clutch lever is too loose.,Bike,Transmission,Adjust the clutch cable tension according to the manufacturer's specifications.,,,
The car's airbag warning light is illuminated.,Car,Safety,Visit an authorized service center to diagnose and repair the airbag system.,,,
How to clean bird droppings from my car?,Car,Body,Use a gentle solvent or automotive detailing clay to remove bird droppings. Wax the area after cleaning.,,,
How to remove a stuck bolt ?,Car,Exhaust,Use penetrating oil and let it sit  then use appropriate tools to loosen the stuck bolt.,,,
The car's steering wheel is vibrating at high speeds.,Car,Steering,Check for wheel balance issues and tire alignment. Rotate or replace tires as needed.,,,
I spilled coffee on my car's center console.,Car,Interior,Wipe the area with a damp cloth and use a mild cleaner for stains. Dry thoroughly.,,,
The bike's suspension is too soft.,Bike,Suspension,Adjust the rear shock absorber settings for increased stiffness if applicable.,,,
My car's headlights are foggy.,Car,Body,Use a headlight restoration kit to remove foggy appearance. Consider professional restoration for severe cases.,,,
The bike's front brake lever is loose.,Bike,Brake,Inspect the brake lever for wear and tighten the mounting bolts. Replace if necessary.,,,
I have a dent on the car's trunk.,Car,Body,Use a dent removal kit or consult an auto body shop for dent repair.,,,
The bike's engine is vibrating excessively at idle.,Bike,Engine,Inspect the engine mounts and tighten them. Balance the engine if necessary.,,,
My car's sunroof is leaking.,Car,Body,Check the sunroof seals for damage and clear any debris. Replace the seals if needed.,,,
The bike's gear indicator is not working.,Bike,Electrical,Inspect the gear position sensor and wiring. Replace the sensor or check for loose connections.,,,
I have a small scratch on my car's door handle.,Car,Body,Use touch-up paint or a scratch repair kit to cover the scratch.,,,
The bike's front fender is loose.,Bike,Body,Tighten the fender bolts and inspect for damage. Replace the fender if necessary.,,,
My car's engine is making a knocking noise.,Car,Engine,Check for low-quality fuel or incorrect ignition timing. Adjust settings or consult a mechanic.,,,
The bike's rearview mirrors are vibrating excessively.,Bike,Body,Tighten the mirror mounts and ensure proper installation. Consider adding vibration dampening accessories.,,,
I accidentally filled diesel instead of gasoline in my car.,Car,Fuel,Do not start the engine. Drain the fuel tank and fuel lines  replace the fuel filter  and fill with the correct gasoline.,,,
The bike's handlebars are too wide for my comfort.,Bike,Steering,Consider replacing the handlebars with a narrower option for improved comfort.,,,
My car's cabin air filter needs replacement.,Car,Interior,Locate and replace the cabin air filter according to the vehicle's maintenance schedule.,,,
The bike's rear suspension is making a creaking noise.,Bike,Suspension,Inspect the rear suspension components for wear and lubricate pivot points. Replace worn parts as needed.,,,
The car's engine is overheating in stop-and-go traffic.,Car,Cooling System,Check the coolant levels and radiator for blockages. Ensure the cooling fans are functioning.,,,
The bike's brake fluid is dark and needs replacement.,Bike,Brake,Flush and replace the brake fluid according to the manufacturer's recommendations.,,,
My car's side mirrors are not adjusting electronically.,Car,Electrical,Check the mirror control switch and wiring. Replace the switch or repair the wiring as needed.,,,
The bike's battery terminals are corroded.,Bike,Battery,Clean the battery terminals with a mixture of baking soda and water. Apply a corrosion-resistant coating.,,,
I have a dent on the car's quarter panel.,Car,Body,Use a dent removal kit or consult an auto body professional for repair.,,,
The bike's kickstart lever is stuck.,Bike,Engine,Inspect the kickstart mechanism for obstructions and lubricate moving parts. Replace if necessary.,,,
My car's wipers are streaking even with new blades.,Car,Wipers,Clean the wiper blades with rubbing alcohol and ensure the windshield is clean. Replace blades if needed.,,,
The bike's exhaust is producing a popping sound during deceleration.,Bike,Exhaust,Adjust the air-fuel mixture and inspect for exhaust leaks. Tune the carburetor if necessary.,,,
I spilled soda on my car's leather seats.,Car,Interior,Blot the affected area with a dry cloth and use a leather cleaner to remove stains. Apply leather conditioner afterward.,,,
The bike's front brakes are grabbing too aggressively.,Bike,Brake,Inspect the brake pads for wear and contamination. Sand or replace pads if necessary.,,,
My car's fuel cap is difficult to open.,Car,Fuel,Inspect the fuel cap mechanism and lubricate moving parts. Replace the fuel cap if it's damaged.,,,
The bike's engine is cranking but not starting.,Bike,Engine,"Check for spark  ,fuel  and air supply issues. Consult a mechanic for further diagnosis.",,,
I hit a pothole  and my car's alignment is off.,Car,Steering,Inspect the wheel alignment and suspension components. Realign if necessary.,,,
My car's horn is not loud enough.,Car,Electrical,Inspect the horn for damage and check the wiring. Replace the horn or wiring as needed.,,,
The bike's wheels are out of balance.,Bike,Suspension,Balance the wheels and inspect for damage. Ensure proper tire inflation.,,,
The car's air conditioning has a musty smell.,Car,AC,Clean or replace the cabin air filter and inspect the AC evaporator for mold. Use an air freshener if necessary.,,,
The bike's front suspension is making a squeaking noise.,Bike,Suspension,Lubricate the front fork seals and inspect for wear. Replace if necessary.,,,
My car's power windows are slow to roll down.,Car,Electrical,Inspect the window regulators and lubricate them. Replace if necessary.,,,
The bike's engine is idling too high.,Bike,Engine,Adjust the idle speed according to the manufacturer's specifications.,,,
I have a dent on the car's side panels.,Car,Body,Use a dent removal kit or consult an auto body shop for professional repair.,,,
My car's steering wheel is off-center.,Car,Steering,Inspect the wheel alignment and adjust the tie rods if necessary.,,,
The bike's rearview mirrors are loose.,Bike,Body,Tighten the mirror mounts and ensure proper installation. Consider using thread locker.,,,
I spilled coffee on the car's carpet.,Car,Interior,Blot the affected area with a clean cloth and use a carpet cleaner to remove stains.,,,
My car's wipers are making a squeaking noise.,Car,Wipers,Clean the wiper blades with rubbing alcohol or replace them if they are worn.,,,
I have a scratch on the car's door.,Car,Body,Use touch-up paint or a scratch repair kit to cover the scratch.,,,
The bike's throttle response is sluggish.,Bike,Engine,Inspect the throttle cable for binding and adjust as needed. Clean the carburetor if necessary.,,,
My car's trunk won't stay open.,Car,General,Check the trunk struts for wear and replace if necessary.,,,
The bike's front tire is losing air.,Bike,Tire,Inspect the tire for punctures and replace or repair as needed. Check for leaks in the valve stem.,,,
My car's brakes are making a strange noise.,Car,Brake,Inspect brake pads and rotors for wear. Replace them if they are worn down.,,,
I have a small chip on the car's windshield.,Car,Body,Use a windshield repair kit to fill the chip and prevent it from spreading.,,,
My car's engine is not working under acceleration.,Car,Engine,Inspect spark plugs  ignition coils  and fuel injectors. Replace or clean components as needed.,,,
I mistakely filled diesel instead of gasoline in my car.,Car,Fuel,"Do not start the engine. Drain the fuel tank and fuel lines ,replace the fuel filter and fill with the correct gasoline.",, ,
My car's airbag warning light is illuminated.,Car,Safety,Visit an authorized service center to diagnose and repair the airbag system.,,,
I have a scratch on the car's side mirrors.,Car,Body,Use a scratch repair kit or consult an auto glass repair service.,,,
The car's windshield washer fluid is not spraying.,Car,Wipers,Check the washer fluid reservoir and inspect the washer pump. Replace the pump if needed.,,,
My car's headlights are too dim.,Car,Electrical,Check the headlight wiring and connectors. Upgrade to brighter bulbs if necessary.,,,
I hit a curb and my car's alignment is off.,Car,Steering,Inspect the alignment and steering and steering components. Realign if necessary.,,,
My steering wheel vibrates at high speed.,Car,Wheel,Check wheel balance and tire condition. Rotate or replace tires if necessary. ,,, 
